合约名称,成交时间,方向,开平,手数,成交均价,平仓盈亏,手续费
恒指主连,2022-01-01 09:00:59,买入,开仓,1,23451,0,1
恒指主连,2022-01-03 09:44:59,卖出,平仓,1,23390,-3050,1
恒指主连,2022-01-03 10:24:59,卖出,开仓,1,23327,0,1
恒指主连,2022-01-03 11:49:59,买入,平仓,1,23260,3350,1
恒指主连,2022-01-03 13:54:59,卖出,开仓,1,23231,0,1
恒指主连,2022-01-03 18:24:59,买入,平仓,1,23283,-2600,1
恒指主连,2022-01-04 18:04:59,卖出,开仓,1,23328,0,1
恒指主连,2022-01-04 18:34:59,买入,平仓,1,23344,-800,1
恒指主连,2022-01-04 18:49:59,卖出,开仓,1,23344,0,1
恒指主连,2022-01-04 19:54:59,买入,平仓,1,23357,-650,1
恒指主连,2022-01-05 10:24:59,卖出,开仓,1,23034,0,1
恒指主连,2022-01-05 10:49:59,买入,平仓,1,23081,-2350,1
恒指主连,2022-01-05 13:04:59,卖出,开仓,1,23047,0,1
恒指主连,2022-01-05 22:39:59,买入,平仓,1,23054,-350,1
恒指主连,2022-01-06 10:04:59,卖出,开仓,1,22924,0,1
恒指主连,2022-01-06 11:04:59,买入,平仓,1,22827,4850,1
恒指主连,2022-01-06 16:09:59,买入,开仓,1,23083,0,1
恒指主连,2022-01-06 16:14:59,卖出,平仓,1,23023,-3000,1
恒指主连,2022-01-06 17:34:59,卖出,开仓,1,22996,0,1
恒指主连,2022-01-06 18:04:59,买入,平仓,1,23024,-1400,1
恒指主连,2022-01-07 09:44:59,卖出,开仓,1,23169,0,1
恒指主连,2022-01-07 09:59:59,买入,平仓,1,23267,-4900,1
恒指主连,2022-01-07 10:19:59,卖出,开仓,1,23154,0,1
恒指主连,2022-01-07 11:19:59,买入,平仓,1,23284,-6500,1
恒指主连,2022-01-11 09:34:59,买入,开仓,1,23647,0,1
恒指主连,2022-01-11 09:54:59,卖出,平仓,1,23578,-3450,1
恒指主连,2022-01-11 09:59:59,买入,开仓,1,23644,0,1
恒指主连,2022-01-11 13:14:59,卖出,平仓,1,23784,7000,1
恒指主连,2022-01-11 15:52:59,卖出,开仓,1,23684,0,1
恒指主连,2022-01-11 16:00:59,买入,平仓,1,23700,-800,1
恒指主连,2022-01-12 09:24:59,买入,开仓,1,24029,0,1
恒指主连,2022-01-12 15:04:59,卖出,平仓,1,24303,13700,1
恒指主连,2022-01-13 13:29:59,买入,开仓,1,24373,0,1
恒指主连,2022-01-13 13:34:59,卖出,平仓,1,24357,-800,1
恒指主连,2022-01-13 14:09:59,买入,开仓,1,24361,0,1
